Ref;Tipo;Nickname;Nombre;Correo
US01;A;atorres;Ana;atorres@gmail.com
US02;A;msilva;Martin;martin.silva@fing.edu.uy
US03;A;sofirod;Sofia;srodriguez@outlook.com
US04;O;miseventos;MisEventos;contacto@miseventos.com
US05;O;techcorp;Corporación Tecnológica;info@techcorp.com
US06;O;imm;Intendencia de Montevideo;contacto@imm.gub.uy
US07;A;vale23;Valentina;valentina.costa@mail.com
US08;A;luciag;Lucía;lucia.garcia@mail.com
US09;A;andrearod;Andrea;andrea.rod@mail.com
US10;O;udelar;Universidad de la República;contacto@udelar.edu.uy
US11;O;mec;Ministerio de Educación y Cultura;mec@mec.gub.uy
US12;A;AnaG;Ana;ana.gomez@hotmail.com
US13;A;JaviL;Javier;javier.lopez@outlook.com
US14;A;MariR;María;maria.rodriguez@gmail.com
US15;A;SofiM;Sofía;sofia.martinez@yahoo.com
